id,na_article_url,na_image_url,na_publication,na_title,na_publish_date,na_author,na_blurb,na_feature,na_order
,http://www.bizjournals.com/kansascity/blog/bizventures-kc/2016/01/former-fdic-chair-gives-blooom-a-ringing.html,,Kansas City Business Journal,Former FDIC chair gives Blooom a ringing endorsement,2016-01-08,Mark Davis,,0,
,http://www.washcoll.edu/live/news/8443-a-bloooming-partnership,,Washington College Press Release,A Bloooming Partnership,2016-01-13,Washington College,,0,
,http://www.investopedia.com/articles/financial-advisors/011916/whats-next-roboadvisor-market.asp,,Investopedia,What's Next for the Robo-Advisor Market?,2016-01-19,Roger Wohlner,,0,
,https://www.credibly.com/incredibly/4-must-investment-apps-sites-entrepreneurs-2016/?utm_campaign=coschedule&utm_source=twitter&utm_medium=lovablemarketer&utm_content=4+Must-Have+Investment+Apps+and+Sites+for+Entrepreneurs+in+2016,,Incredibly,4 Must-Have Investment Apps and Sites for Entrepreneurs in 2016,2016-01-20,Shannah Game,,1,
,http://www.hutchnews.com/opinion/columnists/a-kansas-day-remembrance/article_350431d5-cea4-5e6d-9553-8a137b9d750f.html,,The Hutchinson News,A Kansas Day remembrance,2016-01-25,Senator Jerry Moran,,0,
,http://www.investmentnews.com/article/20160128/FREE/160129914/betterment-rivals-tap-into-wide-open-401-k-market-for-robos,,Investment News,"Betterment, rivals tap into wide open 401(k) market for robos",2016-01-28,Alessandro Malito,,0,
,https://medium.com/the-fintech-trek/robo-advisors-not-dead-yet-af12bba7edd9#.ewnuwxgbb,,The FinTech Trek,Robo-advisors: not dead yet!,2016-02-01,Shane Leonard,,0,
,http://www.435mag.com/February-2016/Blooom/,,435 Magazine,It's 2016: Do You Know Where Your 401k Is?,,Frank Cook,,1,
,http://www.nerdwallet.com/blog/investing/blooom-review/,,NerdWallet,Blooom Review,2016-02-01,Arielle O'Shea,,1,
,http://www.kansascity.com/news/business/technology/article59832276.html,,Kansas City Star,More tech companies choose Kansas City’s Crossroads and land funding,2016-02-11,Greg Hack,,0,
,http://www.npr.org/2016/03/01/468272843/strategies-for-when-youre-starting-out-saddled-with-student-debt?utm_source=facebook.com&utm_medium=social&utm_campaign=morningedition&utm_term=nprnews&utm_content=20160303,,NPR Morning Edition,Strategies For When You're Starting Out Saddled With Student Debt,2016-03-01,Yuki Noguchi,,1,
,https://issuu.com/simplykcmagazine/docs/simplykc_3.16/34?e=0,,Simply KC Magazine,5 Ways to Make Money Now,,,,0,
,http://www.npr.org/2016/03/01/468272843/strategies-for-when-youre-starting-out-saddled-with-student-debt?utm_source=facebook.com&utm_medium=social&utm_campaign=morningedition&utm_term=nprnews&utm_content=20160303,,NPR Morning Edition,Strategies For When You're Starting Out Saddled With Student Debt,2016-03-01,Yuki Noguchi,,0,
,http://www.marketwatch.com/story/would-you-sign-over-your-401k-information-for-a-free-burrito-2016-03-18?mod=mw_share_twitter,,Market Watch,"As reward for getting your 401(k) checked, this firm will give you a free Chipotle burrito",2016-03-19,Maria Lamagna,,1,
,http://wealthmanagement.com/blog/td-ameritrade-s-dirty-dancing-ad-lives,,WealthManagement,The Daily Brief: Burritos by blooom,2016-03-21,Staff,,0,
,http://time.com/money/4269156/free-chipotle-burrito-401k-blooom/,,Money,Would You Give Up Your 401(k) Information to Score a Free Burrito?,2016-03-23,Martha White,,1,
,http://www.nytimes.com/2016/04/07/business/dealbook/ex-goldman-sachs-banker-revamps-401-k-accounts-in-new-job.html?smid=tw-share&_r=0,,NY Times,Ex-Goldman Sachs Banker Revamps 401(k) Accounts in New Job,2016-04-06,Landon Thomas Jr.,,1,
